ADXL-X,ADXL-Y,ADXL-Z,VELO-X,VELO-Y,VELO-Z,DFT321
13.16,-2.14,-12.24,0.14,0,0.46,-18.0992486
0.61,3.37,-3.06,0.14,0,0.46,4.59266807
4.29,-4.59,-14.39,0.12,0,0.42,-15.7017292
9.18,-8.88,28.77,0.12,0,0.42,31.47760633
9.49,-2.45,-11.02,0.12,0,0.42,-14.74798291
8.88,-6.73,11.94,0.12,0,0.42,16.33128593
3.06,2.14,-12.55,0.12,0,0.42,-13.09372751
9.49,-2.14,22.65,0.12,0,0.42,24.65080526
7.65,-2.45,6.12,0.12,0,0.42,10.09848503
7.96,-4.59,-10.41,0.12,0,0.42,-13.88516475
6.73,-12.24,7.65,0.12,0,0.42,15.92585947
5.51,0,-5.2,0.12,0,0.42,7.576285369
5.51,-0.31,6.12,0.12,0,0.42,8.240788797
9.79,-9.49,11.94,0.12,0,0.4,18.12368064
6.73,0,-0.61,0.11,-0.01,0.38,6.757588327
3.67,-20.2,103.76,0.11,-0.01,0.38,105.7716715
6.12,11.63,-12.86,0.11,-0.01,0.38,18.3872483
4.29,-2.75,-18.67,0.11,-0.01,0.38,-19.35291968
20.81,2.14,0.31,0.11,-0.01,0.38,20.92204101
3.06,-7.35,-27.55,0.11,-0.01,0.38,-28.67731856
7.65,-4.9,-3.67,0.11,-0.01,0.38,-9.798030414
6.12,0.92,-11.63,0.11,-0.01,0.38,-13.17412995
15.61,-25.1,30.3,0.11,-0.01,0.38,42.32932908
6.43,0.61,-7.96,0.11,-0.01,0.38,-10.25078534
7.65,-7.35,-2.45,0.1,-0.01,0.35,-10.88795206
8.26,-8.88,18.06,0.08,-0.01,0.31,21.75420879
6.12,-4.9,-8.26,0.08,-0.01,0.31,-11.38823955
10.1,-3.06,-8.88,0.08,-0.01,0.31,-13.7923167
8.26,-10.1,-6.43,0.08,-0.01,0.31,-14.5458757
6.43,-4.9,23.57,0.08,-0.01,0.31,24.91786106
3.98,-3.67,-3.98,0.08,-0.01,0.31,-6.719352647
7.04,-3.06,1.84,0,0,0,7.893719022
8.88,-8.26,14.69,0,0,0,19.04935957
5.2,-4.59,2.45,0,0,0,7.355990756
8.88,-9.18,36.12,0,0,0,38.3116327
4.9,1.53,-6.12,0,0,0,7.987821981
6.73,-1.22,9.79,0.08,-0.02,0.29,11.94258766
7.65,-2.45,27.24,0.08,-0.02,0.29,28.39969366
7.65,-3.98,7.35,0.07,-0.02,0.27,11.33072813
7.04,-1.84,-7.35,0.07,-0.02,0.27,-10.34261572
7.04,-5.82,-5.2,0.07,-0.02,0.27,-10.51066125
7.65,-9.79,3.67,0.07,-0.02,0.27,12.95513412
6.43,-3.67,3.98,0.07,-0.02,0.27,8.405605273
7.35,-2.75,3.67,0.07,-0.02,0.27,8.663365397
6.43,-5.82,-6.12,0.07,-0.02,0.27,-10.61469265
7.35,-5.51,4.29,0.07,-0.02,0.27,10.13837758
6.12,-4.59,-3.98,0.07,-0.02,0.27,-8.623392604
8.88,-7.35,24.79,0.06,-0.02,0.24,27.33900144
5.51,-3.37,-7.35,0.05,-0.01,0.21,-9.784656356
6.43,-3.06,4.29,0.05,-0.01,0.21,8.313398824
9.49,-5.2,9.79,0.05,-0.01,0.21,14.59260772
7.35,-5.51,2.45,0.05,-0.01,0.21,9.507107867
7.04,-4.9,7.65,0.05,-0.01,0.21,11.49321974
6.43,-4.9,4.9,0.05,-0.01,0.21,9.453301011
8.26,-6.43,9.18,0.05,-0.01,0.21,13.9228194
7.65,-5.2,2.14,0.05,-0.01,0.21,9.494319354
7.35,-4.9,2.75,0.05,-0.01,0.21,9.25175659
7.04,-4.9,5.82,0.05,-0.01,0.21,10.36551977
7.04,-3.98,12.24,0.05,-0.01,0.21,14.67036469
7.35,-4.29,4.9,0.05,-0.01,0.21,9.820213847
7.35,-4.59,2.75,0.05,-0.01,0.21,9.091375034
7.96,-4.59,8.26,0.03,-0.01,0.15,12.35545628
7.35,-4.9,6.12,0.03,-0.01,0.15,10.74648315
7.04,-4.29,4.9,0.03,-0.01,0.15,9.590396238
7.35,-4.59,6.73,0.03,-0.01,0.15,10.97194149
7.35,-5.82,9.79,0.03,-0.01,0.15,13.55503596
7.04,-5.51,4.9,0.03,-0.01,0.15,10.19468979
7.35,-5.51,5.82,0.03,-0.01,0.15,10.87451148
7.35,-5.82,6.43,0.03,-0.01,0.15,11.3683684
7.35,-5.2,5.2,0.03,-0.01,0.15,10.39723521
7.35,-5.82,5.51,0.03,-0.01,0.12,10.87451148
7.04,-5.2,5.82,0.03,-0.01,0.12,10.51066125
7.35,-4.59,7.35,0.03,-0.01,0.12,11.36279455
7.35,-5.51,5.51,0.03,-0.01,0.12,10.7118019
7.04,-5.51,5.51,0.02,-0.01,0.08,10.50151418
7.35,-5.51,6.12,0.01,-0.01,0.06,11.03797989
7.35,-4.9,6.12,0.01,-0.01,0.06,10.74648315
7.35,-4.9,6.43,0.01,-0.01,0.06,10.92599652
7.35,-5.51,5.82,0.01,-0.01,0.06,10.87451148
7.35,-5.2,5.82,0.01,-0.01,0.06,10.72076956
7.35,-5.2,6.43,0.01,-0.01,0.06,11.06378778
7.35,-5.51,6.12,0.01,-0.01,0.06,11.03797989
7.35,-5.51,5.82,0.01,-0.01,0.06,10.87451148
7.65,-5.2,6.43,0.01,-0.01,0.06,11.26531846
7.35,-5.51,6.12,-0.02,0,-0.02,11.03797989
7.65,-5.51,5.2,-0.02,0,-0.02,10.76673581
7.35,-5.51,5.2,-0.02,0,-0.02,10.55569041
7.35,-5.82,6.12,-0.02,0,-0.02,11.19595016
7.35,-6.12,6.12,-0.02,0,-0.02,11.35479194
7.04,-5.51,5.2,-0.02,0,-0.02,10.34222897
7.04,-4.9,4.29,-0.02,0,-0.02,9.590396238
7.35,-5.51,7.35,-0.02,0,-0.02,11.76456969
7.04,-5.82,5.82,-0.02,0,-0.02,10.83080791
