VELO-X,VELO-Y,VELO-Z,DFT321
0.03,-0.01,0.15,9.590396238
0.03,-0.01,0.15,10.97194149
0.03,-0.01,0.15,13.55503596
0.03,-0.01,0.15,10.19468979
0.03,-0.01,0.15,10.87451148
0.03,-0.01,0.15,11.3683684
0.03,-0.01,0.15,10.39723521
0.03,-0.01,0.12,10.87451148
0.03,-0.01,0.12,10.51066125
0.03,-0.01,0.12,11.36279455
0.03,-0.01,0.12,10.7118019
0.02,-0.01,0.08,10.50151418
0.01,-0.01,0.06,11.03797989
0.01,-0.01,0.06,10.74648315
0.01,-0.01,0.06,10.92599652
0.01,-0.01,0.06,10.87451148
0.01,-0.01,0.06,10.72076956
0.01,-0.01,0.06,11.06378778
0.01,-0.01,0.06,11.03797989
0.01,-0.01,0.06,10.87451148
0.01,-0.01,0.06,11.26531846
-0.02,0,-0.02,11.03797989
-0.02,0,-0.02,10.76673581
-0.02,0,-0.02,10.55569041
-0.02,0,-0.02,11.19595016
-0.02,0,-0.02,11.35479194
-0.02,0,-0.02,10.34222897
-0.02,0,-0.02,9.590396238
-0.02,0,-0.02,11.76456969
-0.02,0,-0.02,10.83080791
-0.02,0,-0.02,11.53237183
-0.02,0,-0.02,11.62260728
-0.02,0,-0.02,11.19595016
-0.02,0,-0.02,10.22262686
-0.02,0,-0.02,11.42909008
-0.02,0,-0.02,10.30589152
-0.02,0,-0.02,12.96505303
-0.02,0,-0.02,12.81423037
-0.03,0,-0.1,9.007446919
-0.03,0,-0.1,12.38296814
-0.03,0,-0.1,12.79042611
-0.03,0,-0.1,-9.098675728
-0.03,0,-0.1,13.50836037
-0.03,0,-0.1,10.90530605
-0.04,0,-0.14,12.39988306
-0.07,0.01,-0.22,11.36279455
-0.07,0.01,-0.22,12.52048721
-0.07,0.01,-0.22,-9.624983117
-0.07,0.01,-0.22,-9.553983462
-0.07,0.01,-0.22,20.37287903
-0.07,0.01,-0.22,13.01007686
-0.07,0.01,-0.22,-16.77518405
-0.07,0.01,-0.22,-25.74615699
-0.07,0.01,-0.22,21.81573056
-0.07,0.01,-0.22,8.882308259
-0.07,0.01,-0.25,11.78377274
-0.07,0.01,-0.25,9.997349649
-0.07,0.01,-0.25,26.95989058
-0.07,0.01,-0.25,-15.33976858
-0.07,0.01,-0.25,-17.21414535
-0.07,0.01,-0.25,42.21873162
-0.07,0.01,-0.25,8.839038409
-0.08,0.01,-0.28,13.24841123
-0.08,0.01,-0.28,21.45151976
-0.08,0.01,-0.28,24.46987536
-0.08,0.01,-0.28,21.66631256
-0.08,0.01,-0.28,-14.51886015
-0.08,0.01,-0.28,29.17925804
-0.08,0.01,-0.28,8.839038409
-0.08,0.01,-0.28,-20.40483031
-0.08,0.01,-0.28,-19.72998733
-0.08,0.01,-0.32,-18.09042288
-0.08,0.01,-0.32,-32.19647496
-0.08,0.01,-0.32,-15.88696321
-0.09,0.01,-0.36,62.45688033
-0.09,0.01,-0.36,33.39470916
-0.09,0.01,-0.36,-9.407677716
-0.09,0.01,-0.36,-20.31384011
-0.09,0.01,-0.36,-20.05754222
-0.09,0.01,-0.36,12.00310793
-0.09,0.01,-0.36,16.13734799
-0.09,0.01,-0.36,19.23180179
-0.09,0.01,-0.39,-20.28634516
-0.09,0.01,-0.39,3.36455049
-0.09,0.01,-0.39,22.02915341
-0.09,0.01,-0.39,-4.072419428
-0.09,0.01,-0.43,20.89265182
-0.09,0.01,-0.43,6.322262253
-0.09,0.01,-0.43,-9.565218241
-0.08,0,-0.47,25.45835226
-0.08,0,-0.47,29.40884901
-0.08,0,-0.47,-9.806054252
-0.08,0,-0.47,16.88244651
-0.08,0,-0.47,-14.02296688
-0.08,0,-0.47,57.48755778
-0.08,0,-0.47,37.3689751
-0.08,0,-0.47,27.37895177
-0.08,0,-0.47,7.170920443
-0.07,-0.01,-0.5,-33.55626022
-0.07,-0.01,-0.5,6.819926686
-0.07,-0.01,-0.5,-15.49703197
-0.07,-0.01,-0.5,14.46328109
-0.07,-0.01,-0.5,-31.04568569
-0.07,-0.01,-0.5,-19.44334076
-0.07,-0.01,-0.5,72.03609651
-0.07,-0.01,-0.57,-30.20511381
-0.07,-0.01,-0.57,-27.44811469
-0.07,-0.01,-0.57,47.47810548
-0.07,-0.01,-0.57,28.65215524
-0.07,-0.01,-0.57,18.42513501
-0.07,-0.01,-0.57,-36.29080049
-0.07,-0.01,-0.57,-23.33524802
-0.07,-0.01,-0.57,37.25108589
-0.07,-0.01,-0.57,-4.670364012
-0.07,-0.01,-0.57,26.65445179
-0.07,-0.01,-0.57,7.628853125
-0.07,-0.01,-0.57,22.1553357
-0.07,-0.01,-0.57,70.24573866
-0.07,-0.01,-0.57,51.01544864
-0.07,-0.01,-0.57,9.624983117
-0.06,0,-0.62,-11.29575584
-0.06,0,-0.62,-20.46504337
-0.06,0,-0.62,116.4118989
-0.06,0,-0.62,-40.43073212
-0.06,0,-0.66,39.64215559
-0.06,0,-0.66,41.57344946
-0.06,0,-0.66,41.59961658
-0.05,0,-0.68,-49.59567017
-0.05,0,-0.68,26.60443196
-0.05,0,-0.68,9.337976226
-0.05,0,-0.68,13.16123474
-0.05,0,-0.68,-42.09355533
-0.05,0,-0.68,38.88904602
-0.05,0,-0.68,27.34355683
-0.05,0,-0.68,35.28144838
-0.05,0,-0.68,36.08084672
-0.02,-0.02,-0.71,-19.96810958
-0.02,-0.02,-0.71,27.04989649
-0.02,-0.02,-0.73,50.34872491
-0.02,-0.02,-0.73,18.80214349
-0.02,-0.02,-0.73,21.45009324
-0.02,-0.02,-0.73,-28.77018074
-0.02,-0.02,-0.73,46.46138719
-0.02,-0.02,-0.73,28.84957712
-0.02,-0.02,-0.73,27.11485386
-0.02,-0.02,-0.73,-17.06409974
